name,latitude,longitude,subtype,year,date_reported,description,image_url,official_url,county,city
Point Iroquois Light,46.484722,-84.630833,Lighthouse,1856,1856-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Pt.%20Iroquois%20lighthouse%20%28July%202018%29.jpg,https://en.wikipedia.org/wiki/Point_Iroquois_Light,Chippewa,
Round Island Light,45.837294,-84.616895,Lighthouse,1895,1895-01-01,"lighthouse in Mackinac County, Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Round%20Island%20Lighthouse%20Michigan.jpg,https://en.wikipedia.org/wiki/Round_Island_Light_(Straits_of_Mackinac),Mackinac,
Holland Harbor Light,42.7727,-86.2124,Lighthouse,1872,1872-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Holland%20Harbor%20Light%20-%20Holland%2C%20Michigan.jpg,https://en.wikipedia.org/wiki/Holland_Harbor_Light,Ottawa,
Rock Harbor Light,48.089167,-88.579167,Lighthouse,1855,1855-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Rock%20Harbor%20Light%20sm.jpg,https://en.wikipedia.org/wiki/Rock_Harbor_Light,Keweenaw,
Au Sable Light,46.672778,-86.139167,Lighthouse,1874,1874-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Au%20Sable%20Light%20Station%20-%20NPS.jpg,https://en.wikipedia.org/wiki/Au_Sable_Light,Alger,
White Shoal Light,45.842222,-85.135278,Lighthouse,2012,2012,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/White%20Shoal%20Lighthouse.JPG,https://en.wikipedia.org/wiki/White_Shoal_Light_(Michigan),Emmet,
Gull Rock Light Station,47.417222,-87.663611,Lighthouse,1867,1867-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/GullrocksMI.jpg,https://en.wikipedia.org/wiki/Gull_Rock_Light_Station,Keweenaw,
Eagle Harbor Light,47.459722,-88.159167,Lighthouse,1851,1851-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Eagle%20Harbor%20Lighthouse%20Michigan%202020-1541.jpg,https://en.wikipedia.org/wiki/Eagle_Harbor_Light,Keweenaw,
Grand Traverse Light,45.21,-85.55,Lighthouse,1852,1852-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Grand%20Traverse%20Light%20MI.jpg,https://en.wikipedia.org/wiki/Grand_Traverse_Light,Leelanau,
Seul Choix Light,45.921389,-85.911944,Lighthouse,1892,1892-01-01,"lighthouse in Michigan, United States",http://commons.wikimedia.org/wiki/Special:FilePath/Seul%20Choix%20Light%20%28August%202017%29.jpg,https://en.wikipedia.org/wiki/Seul_Choix_Light,Schoolcraft,
