name,latitude,longitude,subtype,year,date_reported,description,image_url,official_url,county,city
USCGC Bramble (WLB-392),42.96,-82.42555556,Museum ship,,,180-foot (55 m) seagoing buoy tender,,https://en.wikipedia.org/wiki/USCGC_Bramble_(WLB-392),St. Clair,Port Huron
USCGC Acacia,44.259444,-86.315,Museum ship,,,USCG seagoing buoy tender,,https://en.wikipedia.org/wiki/USCGC_Acacia_(WLB-406),Manistee,Manistee
Walker Tavern,42.06,-84.225,History,,,Exhibits focus on Michigan's frontier settlement and stagecoach eras during the first half of the 19th century,,https://en.wikipedia.org/wiki/Walker_Tavern,Lenawee,Brooklyn
Water Street Historic Block,46.4976734,-84.3476583,Historic houses,,,"website, cooperative effort between the Chippewa County Historical Society, Sault Historic Sites, & the City of Sault Ste. Marie; includes Johnston House & Henry Rowe Schoolcraft office",,https://en.wikipedia.org/wiki/Water_Street_Historic_Block?action=edit&redlink=1,Chippewa,Sault Ste. Marie
W.K. Kellogg Manor House,42.40537,-85.4012,Historic house,,,"Part of Kellogg Biological Station, 32-acre (130,000 m2) estate includes a Tudor Revival house, carriage house, chauffeur's cottage, boathouse, Dutch windmill, lakeside pagoda and several gardens",,https://en.wikipedia.org/wiki/Kellogg_Biological_Station#W.K._Kellogg_Manor_House,Kalamazoo,Gull Lake
West Shore Fishing Museum,45.2956175,-87.4378762,Industry - Fishing,,,Operated by the Bailey Property Preservation Association[73],,https://en.wikipedia.org/wiki/West_Shore_Fishing_Museum?action=edit&redlink=1,Menominee,Cedar River
White Rock School Museum,43.7100185,-82.6096483,Local history,,,"website, operated by the White Rock Historical Society",,,Huron,White Rock
William Bonifas Fine Arts Center,45.7449415,-87.0570823,Art,,,"website, gallery exhibits, art workshops, classes and theatrical productions",,https://en.wikipedia.org/wiki/William_Bonifas_Fine_Arts_Center?action=edit&redlink=1,Delta,Escanaba
William G. Thompson House Museum,41.85166667,-84.35388889,Historic house,,,"Late 19th-century home of Detroit mayor William G. Thompson, contains Japanese woodblocks, Chinese Jade and hard stone carvings, cloisonné vases, English and Continental art, antique porcelain and glass,",,https://en.wikipedia.org/wiki/Gamaliel_Thompson_House,Lenawee,Hudson
William L. Clements Library,42.2755,-83.7379,History,,,"Part of the University of Michigan, exhibits about American history from the Age of Discovery into the 20th century",,https://en.wikipedia.org/wiki/William_L._Clements_Library,Washtenaw,Ann Arbor
Wills Ste. Claire Auto Museum,42.9108647,-82.4861734,Automotive,,,History of Childe Wills and the Wills Sainte Claire automobile,,https://en.wikipedia.org/wiki/Wills_Sainte_Claire,St. Clair,Marysville
Wolcott Mill Metropark,42.77552,-82.94215,Agriculture,,,"Park features historic mill, barn museum of agriculture, working farm",,https://en.wikipedia.org/wiki/Wolcott_Mill_Metropark,Macomb,Ray Township
